Trddt,conBeta,disconBeta,Stkcd
2005-10-12,2.036670376570684,1.928781698520468,7
2005-10-13,2.045535155693119,1.9284838972257616,7
2005-10-14,2.0307713700216588,2.664123496367657,7
2005-10-17,2.0450025141396493,2.6541149204624137,7
2005-10-18,2.0379566171604435,2.6752628022538345,7
2005-10-19,2.0148457730250646,2.6775489199221463,7
2005-10-20,1.9995106786707784,2.679269431469704,7
2005-10-21,1.9134958134755853,2.7250142204042174,7
2005-10-24,1.882299212605018,2.7318166958051404,7
2005-10-25,1.8439741859070475,2.725635683818513,7
2005-10-26,1.8691624205004256,2.8242259778164613,7
2005-10-27,1.8003782633712997,2.83423887045844,7
2005-10-31,1.788754414179267,2.8279660249452143,7
2005-11-01,1.769595036303342,2.8180460531319493,7
2005-11-02,1.759208982245687,2.7927444597343807,7
2005-11-03,1.716913765865385,2.784311900594726,7
2005-11-04,1.6926276930605164,2.793018971357661,7
2005-11-07,1.6948438977375386,2.771581300221028,7
2005-11-09,1.7012297547922366,2.773144412658156,7
2005-11-10,1.6802720559784796,2.7742039171331734,7
2005-11-14,1.660932355222489,2.7772387797251183,7
2005-11-15,1.6675633425033394,2.770745400804488,7
2005-11-16,1.6517818402877529,2.765049577252296,7
2005-11-17,1.6690153006132304,2.770374657850231,7
2005-11-18,1.6498735027736928,2.709282521308564,7
2005-11-21,1.6357950753678807,2.716820682954981,7
2005-11-22,1.6817451559006018,2.725796400022153,7
2005-11-23,1.4088769776315984,2.488785103782573,7
2005-11-24,1.301262836585785,2.3855881762929365,7
2005-11-25,1.2146007962587204,2.329395678770757,7
2005-11-28,1.172494851821828,2.305324801137333,7
2005-11-29,1.1674545617444587,2.278129710870979,7
2005-11-30,1.1220867169748527,2.192090318790469,7
2005-12-01,1.124127565298315,2.191662831064358,7
2005-12-02,1.0720769343987802,2.156611840268542,7
2005-12-05,1.0740841202792162,2.162914075744184,7
2005-12-06,1.0478225651015458,2.148476238475864,7
2005-12-07,1.0507198182033453,2.118052816814089,7
2005-12-08,1.0274692951680862,2.110556147431714,7
2005-12-09,1.0472276500002933,2.112627930682513,7
2005-12-13,1.0009434232629697,2.0034719894737574,7
2005-12-14,0.9657915671742004,1.9794161355403947,7
2005-12-15,0.9288862748980472,1.9780246249116007,7
2005-12-16,0.9240636064424632,1.9872335271500945,7
2005-12-19,0.9396180142110804,1.991737464454236,7
2005-12-20,0.9334496869558278,2.010617984688931,7
2005-12-21,0.9247705917962714,2.0123022385108635,7
2005-12-22,0.9221841754823512,2.0121833126429887,7
2005-12-23,0.9296295503692618,2.01228167117074,7
2005-12-26,0.933778004780562,1.9946386720050409,7
2005-12-27,0.9101182118436224,2.02281179921194,7
2005-12-28,0.8712153831485574,2.002934767960071,7
2005-12-29,0.8484186360977003,2.0776535919766923,7
2005-12-30,0.818824564305323,2.088999942989798,7
2005-07-11,1.7952227776298355,1.5776434006540263,8
2005-07-12,1.8189042920365148,1.5003129920524616,8
2005-07-13,1.8552176575225687,1.4991645057344891,8
2005-07-14,1.8444942546673664,1.5007198260170618,8
2005-07-15,1.8685371795570245,1.5053385133727948,8
2005-07-18,1.872025295166715,1.5059527176753216,8
2005-07-19,1.898315375492556,1.516393736988746,8
