stkcd,date,time,open,high,low,close,volume,turnover
4,2005-02-02,11:27:00,5.98,5.98,5.95,5.95,6500.0,38753.0
4,2005-02-02,11:29:00,5.96,5.96,5.96,5.96,300.0,1788.0
4,2005-02-02,13:00:00,5.98,5.98,5.98,5.98,2200.0,13192.0
4,2005-02-02,13:02:00,6.0,6.0,6.0,6.0,1700.0,10200.0
4,2005-02-02,13:03:00,6.01,6.02,6.01,6.02,1300.0,7822.0
4,2005-02-02,13:04:00,6.02,6.02,6.02,6.02,1200.0,7224.0
4,2005-02-02,13:07:00,6.02,6.02,6.01,6.01,4800.0,28880.0
4,2005-02-02,13:08:00,6.01,6.01,6.01,6.01,300.0,1803.0
4,2005-02-02,13:09:00,6.01,6.01,6.01,6.01,1700.0,10217.0
4,2005-02-02,13:10:00,6.0,6.0,6.0,6.0,4000.0,24000.0
4,2005-02-02,13:11:00,6.0,6.0,6.0,6.0,200.0,1200.0
4,2005-02-02,13:12:00,5.99,6.0,5.99,6.0,1200.0,7195.0
4,2005-02-02,13:13:00,5.99,6.01,5.99,6.01,4100.0,24594.0
4,2005-02-02,13:17:00,6.0,6.0,6.0,6.0,2000.0,12000.0
4,2005-02-02,13:18:00,6.01,6.01,6.01,6.01,8000.0,48079.0
4,2005-02-02,13:20:00,6.01,6.01,6.01,6.01,800.0,4808.0
4,2005-02-02,13:21:00,6.01,6.01,6.01,6.01,1500.0,9015.0
4,2005-02-02,13:22:00,6.02,6.02,6.01,6.01,8200.0,49359.0
4,2005-02-02,13:23:00,6.02,6.07,6.02,6.07,16500.0,99669.0
4,2005-02-02,13:24:00,6.08,6.08,6.08,6.08,1800.0,10941.0
4,2005-02-02,13:25:00,6.08,6.08,6.08,6.08,100.0,608.0
4,2005-02-02,13:26:00,6.09,6.09,6.09,6.09,1500.0,9133.0
4,2005-02-02,13:27:00,6.09,6.09,6.09,6.09,2000.0,12180.0
4,2005-02-02,13:28:00,6.08,6.09,6.08,6.09,800.0,4868.0
4,2005-02-02,13:29:00,6.08,6.09,6.08,6.09,800.0,4870.0
4,2005-02-02,13:30:00,6.09,6.09,6.09,6.09,4100.0,24969.0
4,2005-02-02,13:31:00,6.08,6.08,6.07,6.07,2900.0,17612.0
4,2005-02-02,13:32:00,6.07,6.07,6.07,6.07,5000.0,30350.0
4,2005-02-02,13:33:00,6.07,6.07,6.07,6.07,800.0,4856.0
4,2005-02-02,13:34:00,6.07,6.07,6.07,6.07,500.0,3035.0
4,2005-02-02,13:35:00,6.08,6.08,6.08,6.08,1800.0,10944.0
4,2005-02-02,13:36:00,6.08,6.08,6.08,6.08,1100.0,6688.0
4,2005-02-02,13:37:00,6.08,6.08,6.08,6.08,600.0,3648.0
4,2005-02-02,13:39:00,6.09,6.09,6.09,6.09,3200.0,19488.0
4,2005-02-02,13:40:00,6.09,6.09,6.09,6.09,200.0,1218.0
4,2005-02-02,13:41:00,6.09,6.09,6.08,6.09,2200.0,13392.0
4,2005-02-02,13:42:00,6.08,6.09,6.08,6.09,11000.0,66935.0
4,2005-02-02,13:43:00,6.08,6.08,6.08,6.08,2600.0,15808.0
